## L1Farm (2025)
# Subset AF-L1 Asian (BC)

## L1Farm site:
# https://github.com/ferrasa/l1farm/

## Reference:
# A comprehensive identification and annotation of mobile LINE-1 retrotransposons across human reference and personal genomes. (Unpublished)

## Genome Assembly:
# Individual Asian genome (assembly KOREF_20090224).

## Columns description:
# (01)	Chromosome name. 
# (02)	Starting position of the feature in the chromosome.
# (03)	Ending position of the feature in the chromosome.
# (04)	Name of the L1 subfamily.
# (05)	Name of the L1 subfamily region.
# (06)	Strand.
# (07)	Number of mismatches (in bp).
# (08)	Number of deletions (in bp).
# (09)	Number of insertions (in bp).
# (10)	Locus length (in bp).
# (11)	Sequence identity (0.70 - 1.00) or (0.99 - 1.00).
# (12)	Sequence similarity (0.90 - 1.00).

chr5	108622987	108629006	L1HS	.	+	9	0	0	6019	0.998505	1
chr4	20770111	20776130	L1HS	.	+	9	0	0	6019	0.998505	1
chr2	4759194	4765213	L1HS	.	+	10	0	0	6019	0.998339	1
chr4	137434136	137440153	L1HS	.	-	9	0	2	6017	0.998505	0.999668
chrX	11635289	11641308	L1HS	.	+	11	0	0	6019	0.998172	1
chr17	65966692	65972711	L1HS	.	+	11	0	0	6019	0.998172	1
chr7	96313912	96319931	L1HS	.	-	12	0	0	6019	0.998006	1
chr7	141266964	141272983	L1HS	.	-	12	0	0	6019	0.998006	1
chr4	88487313	88493324	L1HS	.	-	7	0	8	6011	0.998837	0.998671
chr12	125349523	125355540	L1HS	.	-	11	0	2	6017	0.998172	0.999668
chr5	103882188	103888205	L1HS	.	+	11	0	2	6017	0.998172	0.999668
chr11	94809029	94815046	L1HS	.	+	12	0	2	6017	0.998006	0.999668
chr8	129534431	129540450	L1HS	.	-	14	0	0	6019	0.997674	1
chr3	89592679	89598698	L1HS	.	-	14	0	0	6019	0.997674	1
chrX	11863337	11869356	L1HS	.	-	14	0	0	6019	0.997674	1
chr8	135152182	135158199	L1HS	.	-	13	0	2	6017	0.99784	0.999668
chr10	107127108	107133127	L1HS	.	-	15	0	0	6019	0.997508	1
chr7	49690424	49696445	L1HS	.	-	14	2	0	6021	0.997674	0.999668
chr1	84290661	84296678	L1HS	.	-	15	0	2	6017	0.997508	0.999668
chr6	129361223	129367242	L1HS	.	+	17	0	0	6019	0.997176	1
chr11	24306072	24312091	L1HS	.	+	17	0	0	6019	0.997176	1
chr4	91815914	91821933	L1HS	.	-	17	0	0	6019	0.997176	1
chr6	133383562	133389580	L1HS	.	-	16	0	1	6018	0.997342	0.999834
chr9	46329682	46335702	L1HS	.	-	17	1	0	6020	0.997176	0.999834
chr16	33662559	33668582	L1HS	.	-	16	4	0	6023	0.997342	0.999335
chr6	86765497	86771512	L1HS	.	-	16	0	4	6015	0.997342	0.999335
chr3	110401409	110407428	L1HS	.	+	19	0	0	6019	0.996843	1
chr9	114600242	114606263	L1HS	.	-	15	4	2	6021	0.997508	0.999668
chr4	81077893	81083914	L1HS	.	+	15	4	2	6021	0.997508	0.999668
chr7	110670821	110676840	L1HS	.	-	20	0	0	6019	0.996677	1
chrX	118453473	118459488	L1HS	.	-	18	0	4	6015	0.997009	0.999335
chr11	92509452	92515475	L1HS	.	+	18	4	0	6023	0.997009	0.999335
chrX	80983308	80989327	L1HS	.	+	21	0	0	6019	0.996511	1
